"term","estimate","std.error","statistic","p.value"
"(Intercept)",-0.0407638821761887,0.0210822471895941,-1.93356437810431,0.0539636890842282
"CycleTimeSec",0.00145290298613201,0.000477618078422114,3.04197653265534,0.0025257061345532
"LineB",0.0551110483667342,0.00510834624117258,10.7884324524729,1.18910441449348e-23
"LineC",0.0105535932261837,0.00409614538720821,2.57646939465123,0.0103860420988193
"ShiftSiang",0.000405359944854012,0.00415437891903965,0.0975741386988642,0.922325681845299
"ShiftMalam",0.0256915090761919,0.0042909776717356,5.9873322682195,5.23736558848776e-09
